,total_load_kw,active_sessions,hour,day_of_week,month,lag_24h,lag_1h,rolling_mean_24h
2019-11-03 17:15:00,11.926484641970202,2.0,17,6,11,11.99071122292501,6.246673286991062,4.429017169487357
2019-11-03 17:30:00,11.926484641970202,2.0,17,6,11,18.253324106729945,6.246673286991062,4.363112591729442
2019-11-03 17:45:00,11.926484641970202,2.0,17,6,11,18.253324106729945,6.246673286991062,4.297208013971528
2019-11-03 18:00:00,11.926484641970202,2.0,18,6,11,18.253324106729945,11.926484641970202,4.231303436213614
2019-11-03 18:15:00,11.926484641970202,2.0,18,6,11,15.0346440160241,11.926484641970202,4.198926776067219
2019-11-03 18:30:00,5.67981135497914,1.0,18,6,11,17.999400531525815,11.926484641970202,4.070597722144858
2019-11-03 18:45:00,11.849825911019899,2.0,18,6,11,17.999400531525815,11.926484641970202,4.006539653181255
2019-11-03 19:00:00,11.849825911019899,2.0,19,6,11,17.999400531525815,11.926484641970202,3.9424815842176515
2019-11-03 19:15:00,6.1700145560407575,1.0,19,6,11,12.261214276950781,11.926484641970202,3.879031587124839
2019-11-03 19:30:00,6.1700145560407575,1.0,19,6,11,12.261214276950781,5.67981135497914,3.8155815900320262
2019-11-03 19:45:00,12.487927177399982,2.0,19,6,11,12.261214276950781,11.849825911019899,3.8179431827450387
2019-11-03 20:00:00,12.487927177399982,2.0,20,6,11,12.261214276950781,11.849825911019899,3.8203047754580512
2019-11-03 20:15:00,12.487927177399982,2.0,20,6,11,12.261214276950781,6.1700145560407575,3.8226663681710633
2019-11-03 20:30:00,12.487927177399982,2.0,20,6,11,12.261214276950781,6.1700145560407575,3.8250279608840763
2019-11-03 20:45:00,12.487927177399982,2.0,20,6,11,12.261214276950781,12.487927177399982,3.8273895535970888
2019-11-03 21:00:00,12.487927177399982,2.0,21,6,11,12.261214276950781,12.487927177399982,3.8297511463101013
2019-11-03 21:15:00,12.487927177399982,2.0,21,6,11,12.261214276950781,12.487927177399982,3.8321127390231133
2019-11-03 21:30:00,12.487927177399982,2.0,21,6,11,12.261214276950781,12.487927177399982,3.8344743317361263
2019-11-03 21:45:00,18.378494692077084,3.0,21,6,11,13.59256977567201,12.487927177399982,3.8843277162820122
2019-11-03 22:00:00,18.378494692077084,3.0,22,6,11,13.59256977567201,12.487927177399982,3.934181100827898
2019-11-03 22:15:00,18.378494692077084,3.0,22,6,11,13.59256977567201,12.487927177399982,3.9840344853737846
2019-11-03 22:30:00,12.06058207071786,2.0,22,6,11,4.365200376365358,12.487927177399982,4.064194711356623
2019-11-03 22:45:00,12.06058207071786,2.0,22,6,11,0.0,18.378494692077084,4.189825774593268
2019-11-03 23:00:00,15.35765668450114,3.0,23,6,11,0.0,18.378494692077084,4.3498013650568215
2019-11-03 23:15:00,15.35765668450114,3.0,23,6,11,0.0,18.378494692077084,4.509776955520375
2019-11-03 23:30:00,15.35765668450114,3.0,23,6,11,0.0,12.06058207071786,4.669752545983928
2019-11-03 23:45:00,15.35765668450114,3.0,23,6,11,3.1753395391423775,12.06058207071786,4.7966516829147485
2019-11-04 00:00:00,15.35765668450114,3.0,0,0,11,3.1753395391423775,15.35765668450114,4.923550819845569
2019-11-04 00:15:00,15.35765668450114,3.0,0,0,11,3.1753395391423775,15.35765668450114,5.050449956776389
2019-11-04 00:30:00,3.29707461378328,1.0,0,0,11,3.1753395391423775,15.35765668450114,5.051718030470566
2019-11-04 00:45:00,3.29707461378328,1.0,0,0,11,3.1753395391423775,15.35765668450114,5.052986104164742
2019-11-04 01:00:00,3.29707461378328,1.0,1,0,11,3.1753395391423775,15.35765668450114,5.054254177858918
2019-11-04 01:15:00,3.29707461378328,1.0,1,0,11,3.1753395391423775,15.35765668450114,5.055522251553094
2019-11-04 01:30:00,3.29707461378328,1.0,1,0,11,3.1753395391423775,3.29707461378328,5.0567903252472695
2019-11-04 01:45:00,3.29707461378328,1.0,1,0,11,3.1753395391423775,3.29707461378328,5.058058398941446
2019-11-04 02:00:00,0.0,0.0,2,0,11,0.0,3.29707461378328,5.058058398941446
2019-11-04 02:15:00,0.0,0.0,2,0,11,0.0,3.29707461378328,5.058058398941446
2019-11-04 02:30:00,0.0,0.0,2,0,11,0.0,3.29707461378328,5.058058398941446
2019-11-04 02:45:00,0.0,0.0,2,0,11,0.0,3.29707461378328,5.058058398941446
2019-11-04 03:00:00,0.0,0.0,3,0,11,0.0,0.0,5.058058398941446
2019-11-04 03:15:00,0.0,0.0,3,0,11,0.0,0.0,5.058058398941446
2019-11-04 03:30:00,0.0,0.0,3,0,11,0.0,0.0,5.058058398941446
2019-11-04 03:45:00,0.0,0.0,3,0,11,0.0,0.0,5.058058398941446
2019-11-04 04:00:00,0.0,0.0,4,0,11,0.0,0.0,5.058058398941446
2019-11-04 04:15:00,0.0,0.0,4,0,11,0.0,0.0,5.058058398941446
2019-11-04 04:30:00,0.0,0.0,4,0,11,0.0,0.0,5.058058398941446
2019-11-04 04:45:00,0.0,0.0,4,0,11,0.0,0.0,5.058058398941446
2019-11-04 05:00:00,0.0,0.0,5,0,11,0.0,0.0,5.058058398941446
2019-11-04 05:15:00,0.0,0.0,5,0,11,0.0,0.0,5.058058398941446
2019-11-04 05:30:00,0.0,0.0,5,0,11,0.0,0.0,5.058058398941446
2019-11-04 05:45:00,0.0,0.0,5,0,11,0.0,0.0,5.058058398941446
2019-11-04 06:00:00,0.0,0.0,6,0,11,0.0,0.0,5.058058398941446
2019-11-04 06:15:00,0.0,0.0,6,0,11,0.0,0.0,5.058058398941446
2019-11-04 06:30:00,0.0,0.0,6,0,11,0.0,0.0,5.058058398941446
2019-11-04 06:45:00,0.0,0.0,6,0,11,0.0,0.0,5.058058398941446
2019-11-04 07:00:00,0.0,0.0,7,0,11,0.0,0.0,5.058058398941446
2019-11-04 07:15:00,0.0,0.0,7,0,11,0.0,0.0,5.058058398941446
2019-11-04 07:30:00,0.0,0.0,7,0,11,0.0,0.0,5.058058398941446
2019-11-04 07:45:00,0.0,0.0,7,0,11,0.0,0.0,5.058058398941446
2019-11-04 08:00:00,0.0,0.0,8,0,11,0.0,0.0,5.058058398941446
2019-11-04 08:15:00,0.0,0.0,8,0,11,0.0,0.0,5.058058398941446
2019-11-04 08:30:00,0.0,0.0,8,0,11,0.0,0.0,5.058058398941446
2019-11-04 08:45:00,0.0,0.0,8,0,11,0.0,0.0,5.058058398941446
2019-11-04 09:00:00,0.0,0.0,9,0,11,0.0,0.0,5.058058398941446
2019-11-04 09:15:00,0.0,0.0,9,0,11,0.0,0.0,5.058058398941446
2019-11-04 09:30:00,0.0,0.0,9,0,11,0.0,0.0,5.058058398941446
2019-11-04 09:45:00,0.0,0.0,9,0,11,0.0,0.0,5.058058398941446
2019-11-04 10:00:00,0.0,0.0,10,0,11,0.0,0.0,5.058058398941446
2019-11-04 10:15:00,0.0,0.0,10,0,11,0.0,0.0,5.058058398941446
2019-11-04 10:30:00,0.0,0.0,10,0,11,0.0,0.0,5.058058398941446
2019-11-04 10:45:00,0.0,0.0,10,0,11,0.0,0.0,5.058058398941446
2019-11-04 11:00:00,0.0,0.0,11,0,11,0.0,0.0,5.058058398941446
2019-11-04 11:15:00,0.0,0.0,11,0,11,0.0,0.0,5.058058398941446
2019-11-04 11:30:00,0.0,0.0,11,0,11,0.0,0.0,5.058058398941446
2019-11-04 11:45:00,3.270005735041101,1.0,11,0,11,0.0,0.0,5.092120958681457
2019-11-04 12:00:00,3.270005735041101,1.0,12,0,11,0.0,0.0,5.1261835184214695
2019-11-04 12:15:00,3.270005735041101,1.0,12,0,11,0.0,0.0,5.160246078161481
2019-11-04 12:30:00,3.270005735041101,1.0,12,0,11,0.0,0.0,5.194308637901492
2019-11-04 12:45:00,5.619274027724028,2.0,12,0,11,0.0,3.270005735041101,5.25284274235695
2019-11-04 13:00:00,5.619274027724028,2.0,13,0,11,0.0,3.270005735041101,5.311376846812409
